sku,title,description,category,material,origin_district,price_rwf,artisan_id
SKU-1027,Clay Vase Bugesera,Handmade clay vase pottery home decoration Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,37087,ART-11
SKU-1028,Rwandan Clay Bowl,Traditional clay bowl ceramic pot kitchen decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Rubavu,54735,ART-18
SKU-1029,Musanze Wood Sculpture,Hand-carved wood sculpture home decor art Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,33785,ART-44
SKU-1030,Agaseke Wall Hanging,Decorative woven wall art sisal hanging home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Musanze,12331,ART-15
SKU-1031,Kigali Ceramic Plate,Handmade ceramic plate clay pottery home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Kigali,46347,ART-26
SKU-1032,Huye Woven Placemat,Handwoven sisal placemat table decor woven basket. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Musanze,13675,ART-14
SKU-1033,Rubavu Clay Candle Holder,Clay candle holder pottery home decor Rwanda handmade. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Huye,46245,ART-14
SKU-1034,Kigali Leather Boots,Handcrafted leather boots for men and women. leather boots shoes cowhide footwear. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,70435,ART-26
SKU-1035,Nyamirambo Leather Sandals,Traditional sandals made from genuine cowhide. leather sandals open shoes. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,65142,ART-10
SKU-1036,Kigali Leather Handbag,Premium leather handbag shoulder bag purse women accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Musanze,23301,ART-16
SKU-1037,Huye Leather Belt,Genuine leather belt cowhide strap men accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,39438,ART-48
SKU-1038,Musanze Leather Wallet,Slim leather wallet card holder purse men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,61155,ART-38
SKU-1039,Kigali Leather Shoes,Formal leather shoes loafers dress shoes men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Rubavu,52447,ART-15
SKU-1040,Rubavu Leather Jacket,Handmade leather jacket coat men women fashion. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,71784,ART-32
SKU-1041,Gicumbi Leather Backpack,Leather backpack travel bag school bag unisex. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,11175,ART-8
SKU-1042,Agaseke Peace Basket,Traditional agaseke basket woven peace basket Rwanda tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Bugesera,25969,ART-44
SKU-1043,Musanze Sisal Storage Basket,Handwoven sisal basket storage basket home decor woven tressé. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Rubavu,13326,ART-25
SKU-1044,Gicumbi Woven Tray,Decorative woven tray sisal placemat table decor panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Rubavu,66348,ART-34
SKU-1045,Bugesera Fruit Basket,Woven fruit basket kitchen basket bowl sisal agaseke. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,6504,ART-44
SKU-1046,Huye Market Basket,Large woven market basket sisal carry bag tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Gicumbi,20014,ART-44
SKU-1047,Rubavu Decorative Bowl,Handwoven decorative bowl sisal basket home decor woven. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Huye,39973,ART-50
SKU-1048,Kitenge Dress Kigali,Traditional African dress kitenge fabric women clothing fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Gicumbi,49587,ART-8
SKU-1049,Rwandan Cotton Shirt,Handmade cotton shirt men top African print blouse. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Musanze,61985,ART-11
SKU-1050,Musanze Wrap Skirt,Cotton wrap skirt kitenge women fashion clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Rubavu,5425,ART-47
SKU-1051,Rubavu Linen Jacket,Lightweight jacket cotton blazer men clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Gicumbi,39522,ART-33
SKU-1052,Huye African Print Top,African print top blouse women kitenge fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Bugesera,71542,ART-7
SKU-1053,Kigali Dashiki Shirt,Dashiki shirt African men clothing cotton print. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Gicumbi,44117,ART-41
SKU-1054,Bugesera Cotton Dress,Cotton dress women African fashion clothing kitenge. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Huye,31071,ART-10
SKU-1055,Beaded Necklace Kigali,Handmade beaded necklace African jewelry women accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Musanze,26174,ART-35
SKU-1056,Rwandan Bead Bracelet,Traditional bead bracelet wrist jewelry colorful beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Huye,5074,ART-39
SKU-1057,Huye Bead Earrings,Handcrafted bead earrings African earrings jewelry women. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Musanze,69042,ART-2
SKU-1058,Gicumbi Bead Ring,Beaded ring finger jewelry handmade accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Kigali,52576,ART-20
SKU-1059,Musanze Beaded Anklet,Handmade beaded anklet ankle jewelry women accessory beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Bugesera,12592,ART-16
SKU-1060,Kigali Bead Choker,Beaded choker necklace jewelry women African accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Huye,15322,ART-6
SKU-1061,Clay Vase Bugesera,Handmade clay vase pottery home decoration Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,68699,ART-5
SKU-1062,Rwandan Clay Bowl,Traditional clay bowl ceramic pot kitchen decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Huye,21483,ART-9
SKU-1063,Musanze Wood Sculpture,Hand-carved wood sculpture home decor art Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,67296,ART-36
SKU-1064,Agaseke Wall Hanging,Decorative woven wall art sisal hanging home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Bugesera,39741,ART-34
SKU-1065,Kigali Ceramic Plate,Handmade ceramic plate clay pottery home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Huye,60461,ART-14
SKU-1066,Huye Woven Placemat,Handwoven sisal placemat table decor woven basket. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Huye,31365,ART-46
SKU-1067,Rubavu Clay Candle Holder,Clay candle holder pottery home decor Rwanda handmade. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Musanze,57296,ART-43
SKU-1068,Kigali Leather Boots,Handcrafted leather boots for men and women. leather boots shoes cowhide footwear. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,53944,ART-29
SKU-1069,Nyamirambo Leather Sandals,Traditional sandals made from genuine cowhide. leather sandals open shoes. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,64177,ART-8
SKU-1070,Kigali Leather Handbag,Premium leather handbag shoulder bag purse women accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,34451,ART-5
SKU-1071,Huye Leather Belt,Genuine leather belt cowhide strap men accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Musanze,7757,ART-38
SKU-1072,Musanze Leather Wallet,Slim leather wallet card holder purse men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,35161,ART-38
SKU-1073,Kigali Leather Shoes,Formal leather shoes loafers dress shoes men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,5942,ART-5
SKU-1074,Rubavu Leather Jacket,Handmade leather jacket coat men women fashion. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,12716,ART-15
SKU-1075,Gicumbi Leather Backpack,Leather backpack travel bag school bag unisex. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,9117,ART-22
SKU-1076,Agaseke Peace Basket,Traditional agaseke basket woven peace basket Rwanda tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Kigali,72391,ART-16
SKU-1077,Musanze Sisal Storage Basket,Handwoven sisal basket storage basket home decor woven tressé. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,68624,ART-14
SKU-1078,Gicumbi Woven Tray,Decorative woven tray sisal placemat table decor panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Huye,22342,ART-47
SKU-1079,Bugesera Fruit Basket,Woven fruit basket kitchen basket bowl sisal agaseke. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Huye,66953,ART-16
SKU-1080,Huye Market Basket,Large woven market basket sisal carry bag tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Rubavu,58354,ART-13
SKU-1081,Rubavu Decorative Bowl,Handwoven decorative bowl sisal basket home decor woven. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Kigali,17704,ART-43
SKU-1082,Kitenge Dress Kigali,Traditional African dress kitenge fabric women clothing fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Rubavu,51438,ART-28
SKU-1083,Rwandan Cotton Shirt,Handmade cotton shirt men top African print blouse. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Rubavu,66213,ART-47
SKU-1084,Musanze Wrap Skirt,Cotton wrap skirt kitenge women fashion clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Kigali,17899,ART-4
SKU-1085,Rubavu Linen Jacket,Lightweight jacket cotton blazer men clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Rubavu,49473,ART-7
SKU-1086,Huye African Print Top,African print top blouse women kitenge fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Bugesera,30112,ART-13
SKU-1087,Kigali Dashiki Shirt,Dashiki shirt African men clothing cotton print. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Huye,63800,ART-9
SKU-1088,Bugesera Cotton Dress,Cotton dress women African fashion clothing kitenge. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Rubavu,29050,ART-18
SKU-1089,Beaded Necklace Kigali,Handmade beaded necklace African jewelry women accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Rubavu,37742,ART-5
SKU-1090,Rwandan Bead Bracelet,Traditional bead bracelet wrist jewelry colorful beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Rubavu,17833,ART-4
SKU-1091,Huye Bead Earrings,Handcrafted bead earrings African earrings jewelry women. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Gicumbi,6934,ART-6
SKU-1092,Gicumbi Bead Ring,Beaded ring finger jewelry handmade accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Bugesera,26798,ART-27
SKU-1093,Musanze Beaded Anklet,Handmade beaded anklet ankle jewelry women accessory beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Rubavu,68092,ART-14
SKU-1094,Kigali Bead Choker,Beaded choker necklace jewelry women African accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Rubavu,12685,ART-11
SKU-1095,Clay Vase Bugesera,Handmade clay vase pottery home decoration Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Rubavu,5282,ART-25
SKU-1096,Rwandan Clay Bowl,Traditional clay bowl ceramic pot kitchen decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Musanze,64638,ART-19
SKU-1097,Musanze Wood Sculpture,Hand-carved wood sculpture home decor art Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Rubavu,68788,ART-10
SKU-1098,Agaseke Wall Hanging,Decorative woven wall art sisal hanging home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Bugesera,43890,ART-14
SKU-1099,Kigali Ceramic Plate,Handmade ceramic plate clay pottery home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Kigali,12989,ART-48
SKU-1100,Huye Woven Placemat,Handwoven sisal placemat table decor woven basket. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Musanze,12492,ART-4
SKU-1101,Rubavu Clay Candle Holder,Clay candle holder pottery home decor Rwanda handmade. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Huye,67493,ART-33
SKU-1102,Kigali Leather Boots,Handcrafted leather boots for men and women. leather boots shoes cowhide footwear. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,25635,ART-4
SKU-1103,Nyamirambo Leather Sandals,Traditional sandals made from genuine cowhide. leather sandals open shoes. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,15500,ART-12
SKU-1104,Kigali Leather Handbag,Premium leather handbag shoulder bag purse women accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,13907,ART-44
SKU-1105,Huye Leather Belt,Genuine leather belt cowhide strap men accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,57923,ART-8
SKU-1106,Musanze Leather Wallet,Slim leather wallet card holder purse men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,37271,ART-38
SKU-1107,Kigali Leather Shoes,Formal leather shoes loafers dress shoes men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,10209,ART-40
SKU-1108,Rubavu Leather Jacket,Handmade leather jacket coat men women fashion. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,59948,ART-43
SKU-1109,Gicumbi Leather Backpack,Leather backpack travel bag school bag unisex. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,73522,ART-21
SKU-1110,Agaseke Peace Basket,Traditional agaseke basket woven peace basket Rwanda tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,31772,ART-43
SKU-1111,Musanze Sisal Storage Basket,Handwoven sisal basket storage basket home decor woven tressé. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Gicumbi,46180,ART-16
SKU-1112,Gicumbi Woven Tray,Decorative woven tray sisal placemat table decor panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,56876,ART-9
SKU-1113,Bugesera Fruit Basket,Woven fruit basket kitchen basket bowl sisal agaseke. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Gicumbi,44321,ART-30
SKU-1114,Huye Market Basket,Large woven market basket sisal carry bag tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,14508,ART-1
SKU-1115,Rubavu Decorative Bowl,Handwoven decorative bowl sisal basket home decor woven. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Rubavu,18104,ART-5
SKU-1116,Kitenge Dress Kigali,Traditional African dress kitenge fabric women clothing fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Huye,32938,ART-33
SKU-1117,Rwandan Cotton Shirt,Handmade cotton shirt men top African print blouse. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Musanze,22361,ART-23
SKU-1118,Musanze Wrap Skirt,Cotton wrap skirt kitenge women fashion clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Kigali,37018,ART-24
SKU-1119,Rubavu Linen Jacket,Lightweight jacket cotton blazer men clothing. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Musanze,25676,ART-29
SKU-1120,Huye African Print Top,African print top blouse women kitenge fashion. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Huye,44651,ART-40
SKU-1121,Kigali Dashiki Shirt,Dashiki shirt African men clothing cotton print. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Gicumbi,74329,ART-1
SKU-1122,Bugesera Cotton Dress,Cotton dress women African fashion clothing kitenge. dress shirt clothing apparel fabric kitenge cotton jacket skirt blouse top dashiki,apparel,Cotton,Gicumbi,44240,ART-43
SKU-1123,Beaded Necklace Kigali,Handmade beaded necklace African jewelry women accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Kigali,22601,ART-17
SKU-1124,Rwandan Bead Bracelet,Traditional bead bracelet wrist jewelry colorful beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Kigali,19029,ART-48
SKU-1125,Huye Bead Earrings,Handcrafted bead earrings African earrings jewelry women. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Huye,25374,ART-18
SKU-1126,Gicumbi Bead Ring,Beaded ring finger jewelry handmade accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Musanze,32607,ART-46
SKU-1127,Musanze Beaded Anklet,Handmade beaded anklet ankle jewelry women accessory beads. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Musanze,31685,ART-44
SKU-1128,Kigali Bead Choker,Beaded choker necklace jewelry women African accessory. necklace bracelet earrings ring jewelry jewellery beads accessory anklet choker,jewellery,Beads,Gicumbi,39600,ART-33
SKU-1129,Clay Vase Bugesera,Handmade clay vase pottery home decoration Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Rubavu,37914,ART-4
SKU-1130,Rwandan Clay Bowl,Traditional clay bowl ceramic pot kitchen decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Kigali,60518,ART-18
SKU-1131,Musanze Wood Sculpture,Hand-carved wood sculpture home decor art Rwanda. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Kigali,5464,ART-22
SKU-1132,Agaseke Wall Hanging,Decorative woven wall art sisal hanging home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Bugesera,39335,ART-11
SKU-1133,Kigali Ceramic Plate,Handmade ceramic plate clay pottery home decor. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,62912,ART-36
SKU-1134,Huye Woven Placemat,Handwoven sisal placemat table decor woven basket. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Gicumbi,61057,ART-36
SKU-1135,Rubavu Clay Candle Holder,Clay candle holder pottery home decor Rwanda handmade. vase bowl sculpture decoration pottery clay wood home decor art ceramic candle,home-decor,Clay,Kigali,19663,ART-5
SKU-1136,Kigali Leather Boots,Handcrafted leather boots for men and women. leather boots shoes cowhide footwear. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Gicumbi,24536,ART-35
SKU-1137,Nyamirambo Leather Sandals,Traditional sandals made from genuine cowhide. leather sandals open shoes. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,53393,ART-38
SKU-1138,Kigali Leather Handbag,Premium leather handbag shoulder bag purse women accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,24410,ART-28
SKU-1139,Huye Leather Belt,Genuine leather belt cowhide strap men accessory. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,10482,ART-20
SKU-1140,Musanze Leather Wallet,Slim leather wallet card holder purse men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Musanze,10229,ART-23
SKU-1141,Kigali Leather Shoes,Formal leather shoes loafers dress shoes men women. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Bugesera,37706,ART-43
SKU-1142,Rubavu Leather Jacket,Handmade leather jacket coat men women fashion. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Kigali,51357,ART-50
SKU-1143,Gicumbi Leather Backpack,Leather backpack travel bag school bag unisex. leather boots shoes sandals bag handbag belt wallet purse cowhide jacket backpack,leather,Leather,Huye,58264,ART-40
SKU-1144,Agaseke Peace Basket,Traditional agaseke basket woven peace basket Rwanda tressé panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Gicumbi,25257,ART-16
SKU-1145,Musanze Sisal Storage Basket,Handwoven sisal basket storage basket home decor woven tressé. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Bugesera,28206,ART-27
SKU-1146,Gicumbi Woven Tray,Decorative woven tray sisal placemat table decor panier. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Kigali,28509,ART-48
SKU-1147,Bugesera Fruit Basket,Woven fruit basket kitchen basket bowl sisal agaseke. basket agaseke woven sisal weave tray bowl storage decor tressé panier,basketry,Sisal,Musanze,58964,ART-43
